ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
1917,7.7,120,109.6,74.77,28.88,17579,100,3.79,0.1, bCep,124987.422119099,166,279.368021087963,262.692151461151
1918,5.5,1800,27.38,18.24,216.21,7274,254,3.99,0.4, dSct,NA,NA,NA,NA
1919,16.5,1800,27.38,55.31,210.58,7017,200,4.38,0.1, RR Lyrae; ab type;Trans/Eclipse,28.5609536044896,6,64.1797031697998,40.8859807466796
1920,8.9,1800,27.38,46.05,128.53,6028,300,-999,-999, Trans/Eclipse,16775541.6312181,4,55.6835637480798,14.2338709677419
1921,16.5,1800,27.38,31.98,216.18,7601,266,4.06,0.4, dSct+gDor hybrid,0.105673145850494,2,136.883273166839,156.853489773626
1922,12.5,1800,27.4,25.77,144.32,3282,250,-999,-999, LPV;MIRA,55784.2914004218,1,30.5770887166236,0
1923,13.8,120,27.4,30.24,81.07,12161,100,4.28,0.1, SPB,22.4857103509962,10,144.87504527645,87.8984063763208
1924,8.9,1800,27.38,36.7,195.13,7483,261,4.11,0.4, dSct,NA,NA,NA,NA
1925,6.9,1800,27.38,20.12,162.16,6233,300,-999,-999, Trans/Eclipse,695304474.053834,1,106.127008679213,0
1926,14.6,1800,27.38,7.29,324.29,7498,100,-999,-999, gDor,2.60637872723778,1,3.86100386095616,0
1927,16.6,120,54.8,60.44,270.25,12161,100,4.28,0.1, SPB,0.129307576225956,34,181.540678384274,123.15646152124
1928,13.5,1800,27.38,28.68,351.31,5202,300,-999,-999, Trans/Eclipse,2285.26807135829,9,35.7873210629555,44.8468813900427
1929,14.8,1800,27.38,32.77,324.29,5619,300,-999,-999, Trans/Eclipse,NA,NA,NA,NA
1930,16.3,1800,27.38,36.13,88.19,8000,200,-999,-999, Trans/Eclipse,NA,NA,NA,NA
1931,9,1800,27.38,44.43,108.08,7196,200,-999,-999, RR Lyrae; ab type,78433592.6579815,7,68.2110682127538,50.2468468480885
1932,7,1800,27.4,50.09,270.25,7407,259,3.97,0.4, dSct+gDor hybrid,135226.488474993,4,160.346741820557,31.9716884443927
1933,13.5,1800,54.77,60.51,108.08,5620,200,3.38,0.1, Solar-like,0.00406255305237552,6,22.6866053171126,23.3709100205933
1934,13.3,1800,82.19,72.54,289.59,5893,300,-999,-999, Trans/Eclipse,3635.38822539293,20,44.6453840491754,33.0431737135687
1935,15.5,1800,27.38,29.27,133.7,7614,266,3.83,0.4, dSct+gDor hybrid,0.218185784407668,2,84.4854070660524,56.3028673835128
1936,6.8,1800,27.37,23.61,263.34,5428,300,-999,-999, Trans/Eclipse,400151848.009374,1,2.13183252326315,0
1937,6.5,120,27.4,11.57,324.3,14680,90,4.16,0.13, SPB,31333567.9712232,16,3149.84592330177,429.41812655716
1938,7.8,1800,246.56,77.31,223.03,6766,203,4.33,0.4, dSct+gDor hybrid,426.891286087886,36,36.9445385107924,38.491703352575
1939,15.2,1800,54.77,61.15,86.03,7277,260,4.3,0.1, gDor;Trans/Eclipse,5.02234899496372,8,45.9057600548147,21.4759713702749
1940,5.1,120,27.4,15.51,216.2,10471,100,4.22,0.1, SPB,155311230.144082,4,56.484410302173,33.4975146856007
1941,13.3,1800,27.4,38.31,2.01,6268,200,-999,-999, RR Lyrae; ab type,44734.2805814044,6,72.1049430961022,45.7234818857469
1942,16.8,1800,27.38,21.3,54.71,6421,200,-999,-999, RR Lyrae; c type,29.5017609245892,5,105.676328503728,52.4384057977527
1943,15.3,120,27.4,8.06,118.18,14050,80,4.2,0.12, SPB,1.20552052478084,99,568.666598400295,564.810842624105
1944,15.6,1800,27.4,45.51,27.02,7269,300,-999,-999, Trans/Eclipse,35.7023204103421,7,63.4176005544031,35.4195986438883
1945,7,120,27.4,14.16,117.76,13690,70,4.23,0.12, SPB,543102.105546652,27,301.610866518386,242.242500251996
1946,7.3,1800,27.4,19.9,297.27,5858,200,-999,-999, Trans/Eclipse,NA,NA,NA,NA
1947,11.2,1800,54.77,54.14,205.89,2618,250,-999,-999, LPV;MIRA,4649767.6916846,2,19.0839694657654,5.65877862598879
1948,11,1800,27.38,16.34,243.21,5454,200,-999,-999, Trans/Eclipse,33.4209842747733,2,64.6621403158409,92.6724862578568
1949,5.4,1800,27.4,9.5,270.25,6319,300,-999,-999, Trans/Eclipse,11658142490.9387,2,17.0808779569169,22.1585959515594
1950,7.8,1800,82.19,69.43,0,7102,200,-999,-999, RR Lyrae; ab type,675136175.132359,10,98.2471020638961,66.2286683630192
1951,13.3,1800,356.19,84.72,0,6661,300,-999,-999, Trans/Eclipse,4864.16478228353,56,24.5844064621637,25.1911632716536
1952,8.2,20,27.4,32.66,313.28,5800,200,-999,-999, Trans/Eclipse,981.166996405802,20,918.284581297386,732.023251607125
1953,9.7,120,27.4,45.64,81.07,14321,100,4.23,0.1, SPB,42578.9669514129,51,252.031683981055,183.018208001786
1954,8.9,120,27.4,46.47,162.15,6472,200,4.45,0.1, Solar-like;Trans/Eclipse,1709.5523657133,113,1078.0313984892,1022.13953730257
1955,11.2,1800,27.4,32.25,289.83,4886,200,3.71,0.1, Solar-like,0.113613180947456,9,84.1233239378158,81.6702536500331
1956,13.5,120,27.4,19.7,216.2,8748,200,4.45,0.1, Solar-like;Trans/Eclipse,0.692028353297987,47,562.372188130946,566.995368691447
1957,14.6,120,54.8,63.38,204.66,6498,200,4.31,0.1, Solar-like,0.000110991571486541,129,730.176090063874,921.039372272341
1958,7.2,120,27.4,8.51,243.22,7335,200,3.86,0.1, Solar-like,126.497600855268,131,875.959079276719,755.203324802003
1959,11.1,120,27.4,25.79,129.85,5322,200,3.76,0.1, Solar-like,0.130611945455,122,1025.13566088215,922.165967016734
1960,12.4,120,27.4,35.51,86.44,4891,200,3.26,0.1, Solar-like,0.0463969145088701,84,583.359050847306,510.925830671652
